"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 01, 2019","5,557.41","5,500.91","5,563.65","5,499.88","83.90M","0.70%"
"Jul 31, 2019","5,518.90","5,511.51","5,538.59","5,503.13","86.82M","0.14%"
"Jul 30, 2019","5,511.07","5,610.73","5,611.00","5,496.77","90.06M","-1.61%"
"Jul 29, 2019","5,601.10","5,598.65","5,624.34","5,590.82","61.13M","-0.16%"
"Jul 26, 2019","5,610.05","5,572.72","5,614.25","5,568.83","73.95M","0.57%"
"Jul 25, 2019","5,578.05","5,646.73","5,672.77","5,549.66","109.64M","-0.50%"
"Jul 24, 2019","5,605.87","5,617.86","5,627.08","5,583.14","71.05M","-0.22%"
"Jul 23, 2019","5,618.16","5,590.60","5,638.66","5,580.52","80.26M","0.92%"
"Jul 22, 2019","5,567.02","5,550.30","5,575.74","5,545.61","59.92M","0.26%"
"Jul 19, 2019","5,552.34","5,580.99","5,598.00","5,534.25","67.54M","0.03%"
"Jul 18, 2019","5,550.55","5,538.03","5,585.81","5,533.47","65.22M","-0.38%"
"Jul 17, 2019","5,571.71","5,602.25","5,621.21","5,567.85","65.73M","-0.76%"
"Jul 16, 2019","5,614.38","5,574.18","5,626.79","5,573.36","68.07M","0.65%"
"Jul 15, 2019","5,578.21","5,581.11","5,606.48","5,550.86","55.43M","0.10%"
"Jul 12, 2019","5,572.86","5,559.16","5,587.84","5,552.58","62.28M","0.38%"
"Jul 11, 2019","5,551.95","5,589.68","5,592.30","5,548.95","59.25M","-0.28%"
"Jul 10, 2019","5,567.59","5,562.44","5,606.18","5,557.66","62.66M","-0.08%"
"Jul 09, 2019","5,572.10","5,578.34","5,582.77","5,544.62","64.27M","-0.31%"
"Jul 08, 2019","5,589.19","5,580.26","5,598.97","5,572.77","56.69M","-0.08%"
"Jul 05, 2019","5,593.72","5,613.92","5,616.63","5,573.35","65.87M","-0.48%"
"Jul 04, 2019","5,620.73","5,622.80","5,629.79","5,613.03","47.60M","0.03%"
"Jul 03, 2019","5,618.81","5,579.24","5,618.81","5,579.04","65.25M","0.75%"
"Jul 02, 2019","5,576.82","5,578.38","5,582.91","5,556.76","69.66M","0.16%"
